ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,tbl_SamplingPeriods_Season,tbl_SamplingPeriods_StartDate,tbl_SamplingPeriods_EndDate,EventID,tbl_SamplingEvents_Season,tbl_SamplingEvents_StartDate,tbl_SamplingEvents_EndDate,AdditionalComments,ChannelType,SiteNumber,tbl_ShinerSubstrate_Season,Muck,Detritus,Silt,Sand,Pea_gravel,Coarse_gravel,Cobble,Boulder,Bedrock,Hardpan_shale
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2003Oct06,2003,10/6/2003 0:00:00,10/10/2003 0:00:00,TAPRShiner2003Oct09,2003,10/9/2003 0:00:00,10/9/2003 0:00:00,,main,2,2003,4,3,3,0,3,2,1,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2003Oct06,2003,10/6/2003 0:00:00,10/10/2003 0:00:00,TAPRShiner2003Oct09,2003,10/9/2003 0:00:00,10/9/2003 0:00:00,,main,3,2003,3,2,3,0,4,2,2,2,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2003Oct06,2003,10/6/2003 0:00:00,10/10/2003 0:00:00,TAPRShiner2003Oct09,2003,10/9/2003 0:00:00,10/9/2003 0:00:00,,main,4,2003,5,2,3,0,2,1,1,1,3,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2003Oct06,2003,10/6/2003 0:00:00,10/10/2003 0:00:00,TAPRShiner2003Oct09,2003,10/9/2003 0:00:00,10/9/2003 0:00:00,,main,5,2003,6,3,3,0,1,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2004Oct04,2004,10/4/2004 0:00:00,10/7/2004 0:00:00,TAPRShiner2004Oct07,2004,10/7/2004 0:00:00,10/7/2004 0:00:00,,main,1,2004,4,2,3,0,3,3,1,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2004Oct04,2004,10/4/2004 0:00:00,10/7/2004 0:00:00,TAPRShiner2004Oct07,2004,10/7/2004 0:00:00,10/7/2004 0:00:00,,main,2,2004,4,2,3,0,3,3,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2004Oct04,2004,10/4/2004 0:00:00,10/7/2004 0:00:00,TAPRShiner2004Oct07,2004,10/7/2004 0:00:00,10/7/2004 0:00:00,,main,3,2004,4,2,4,0,3,3,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2004Oct04,2004,10/4/2004 0:00:00,10/7/2004 0:00:00,TAPRShiner2004Oct07,2004,10/7/2004 0:00:00,10/7/2004 0:00:00,,main,4,2004,4,2,0,0,3,3,1,0,2,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2004Oct04,2004,10/4/2004 0:00:00,10/7/2004 0:00:00,TAPRShiner2004Oct07,2004,10/7/2004 0:00:00,10/7/2004 0:00:00,,main,5,2004,4,2,2,0,3,3,1,0,2,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2005Oct03,2005,10/3/2005 0:00:00,10/5/2005 0:00:00,TAPRShiner2005Oct04,2005,10/4/2005 0:00:00,10/4/2005 0:00:00,,main,1,2005,1,2,6,1,1,1,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2005Oct03,2005,10/3/2005 0:00:00,10/5/2005 0:00:00,TAPRShiner2005Oct04,2005,10/4/2005 0:00:00,10/4/2005 0:00:00,,main,2,2005,1,2,6,1,1,1,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2005Oct03,2005,10/3/2005 0:00:00,10/5/2005 0:00:00,TAPRShiner2005Oct04,2005,10/4/2005 0:00:00,10/4/2005 0:00:00,,main,3,2005,1,2,6,1,1,1,0,1,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2005Oct03,2005,10/3/2005 0:00:00,10/5/2005 0:00:00,TAPRShiner2005Oct04,2005,10/4/2005 0:00:00,10/4/2005 0:00:00,,main,4,2005,1,2,6,1,1,1,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2005Oct03,2005,10/3/2005 0:00:00,10/5/2005 0:00:00,TAPRShiner2005Oct04,2005,10/4/2005 0:00:00,10/4/2005 0:00:00,,main,5,2005,0,2,4,1,2,3,1,0,0,0
