geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
TAPR212	38.436779	38.436779	-96.543084	-96.543084
TAPR80	38.438676	38.438676	-96.586231	-96.586231
TAPR81	38.438335	38.438335	-96.569721	-96.569721
TAPR209	38.43988	38.43988	-96.596359	-96.596359
TAPR79	38.43954	38.43954	-96.579848	-96.579848
TAPR210	38.439198	38.439198	-96.563337	-96.563337
TAPR77	38.440749	38.440749	-96.589975	-96.589975
TAPR78	38.440408	38.440408	-96.573464	-96.573464
TAPR76	38.441618	38.441618	-96.583591	-96.583591
TAPR208	38.441276	38.441276	-96.56708	-96.56708
TAPR73	38.442826	38.442826	-96.593719	-96.593719
TAPR74	38.442486	38.442486	-96.577207	-96.577207
TAPR75	38.442143	38.442143	-96.560696	-96.560696
TAPR71	38.443695	38.443695	-96.587335	-96.587335
TAPR72	38.443354	38.443354	-96.570823	-96.570823
TAPR70	38.444564	38.444564	-96.580951	-96.580951
TAPR207	38.444221	38.444221	-96.564439	-96.564439
TAPR68	38.445773	38.445773	-96.591079	-96.591079
TAPR69	38.445432	38.445432	-96.574567	-96.574567
TAPR206	38.445089	38.445089	-96.558054	-96.558054
TAPR67	38.446641	38.446641	-96.584695	-96.584695
TAPR205	38.446299	38.446299	-96.568183	-96.568183
TAPR204	38.447845	38.447845	-96.594823	-96.594823
TAPR65	38.447505	38.447505	-96.578311	-96.578311
TAPR66	38.447162	38.447162	-96.561798	-96.561798
TAPR202	38.448714	38.448714	-96.588439	-96.588439
TAPR203	38.448373	38.448373	-96.571926	-96.571926
TAPR200	38.449583	38.449583	-96.582054	-96.582054
TAPR201	38.449241	38.449241	-96.565542	-96.565542
TAPR197	38.450791	38.450791	-96.592183	-96.592183
TAPR198	38.450451	38.450451	-96.57567	-96.57567
TAPR199	38.450108	38.450108	-96.559156	-96.559156
TAPR63	38.45166	38.45166	-96.585799	-96.585799
TAPR64	38.451319	38.451319	-96.569285	-96.569285
TAPR196	38.452869	38.452869	-96.595928	-96.595928
TAPR61	38.452529	38.452529	-96.579414	-96.579414
TAPR62	38.452186	38.452186	-96.5629	-96.5629
TAPR59	38.453738	38.453738	-96.589543	-96.589543
TAPR60	38.453397	38.453397	-96.573029	-96.573029
TAPR57	38.454606	38.454606	-96.583158	-96.583158
TAPR58	38.454264	38.454264	-96.566644	-96.566644
TAPR54	38.45581	38.45581	-96.593287	-96.593287
TAPR55	38.45547	38.45547	-96.576773	-96.576773
TAPR56	38.455127	38.455127	-96.560258	-96.560258
TAPR52	38.456679	38.456679	-96.586902	-96.586902
TAPR53	38.456338	38.456338	-96.570388	-96.570388
TAPR50	38.457548	38.457548	-96.580517	-96.580517
TAPR51	38.457205	38.457205	-96.564003	-96.564003
TAPR48	38.458757	38.458757	-96.590647	-96.590647
TAPR49	38.458416	38.458416	-96.574132	-96.574132
TAPR46	38.459625	38.459625	-96.584262	-96.584262
TAPR47	38.459283	38.459283	-96.567746	-96.567746
TAPR43	38.460834	38.460834	-96.594392	-96.594392
TAPR44	38.460493	38.460493	-96.577876	-96.577876
TAPR45	38.460151	38.460151	-96.56136	-96.56136
TAPR41	38.461703	38.461703	-96.588006	-96.588006
TAPR42	38.461361	38.461361	-96.571491	-96.571491
TAPR40	38.462571	38.462571	-96.581621	-96.581621
TAPR195	38.462229	38.462229	-96.565105	-96.565105
TAPR38	38.46378	38.46378	-96.591751	-96.591751
TAPR39	38.463439	38.463439	-96.575235	-96.575235
TAPR37	38.464644	38.464644	-96.585365	-96.585365
TAPR194	38.464302	38.464302	-96.568849	-96.568849
TAPR193	38.465853	38.465853	-96.595497	-96.595497
TAPR36	38.465512	38.465512	-96.57898	-96.57898
TAPR34	38.466722	38.466722	-96.58911	-96.58911
TAPR35	38.46638	38.46638	-96.572594	-96.572594
TAPR33	38.46759	38.46759	-96.582724	-96.582724
TAPR31	38.468799	38.468799	-96.592856	-96.592856
TAPR32	38.468458	38.468458	-96.576338	-96.576338
TAPR29	38.469668	38.469668	-96.586469	-96.586469
TAPR30	38.469326	38.469326	-96.569952	-96.569952
TAPR192	38.470876	38.470876	-96.596602	-96.596602
