geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
PERI90	36.444138	36.444138	-94.033962	-94.033962
PERI82	36.44666	36.44666	-94.037152	-94.037152
PERI71	36.449182	36.449182	-94.040342	-94.040342
PERI61	36.451704	36.451704	-94.043531	-94.043531
PERI51	36.454226	36.454226	-94.046721	-94.046721
PERI41	36.456747	36.456747	-94.049912	-94.049912
PERI31	36.459269	36.459269	-94.053102	-94.053102
PERI21	36.461791	36.461791	-94.056293	-94.056293
PERI14	36.464312	36.464312	-94.059484	-94.059484
PERI5	36.466834	36.466834	-94.062675	-94.062675
PERI91	36.444192	36.444192	-94.027651	-94.027651
PERI83	36.446715	36.446715	-94.030841	-94.030841
PERI72	36.449237	36.449237	-94.03403	-94.03403
PERI62	36.451759	36.451759	-94.03722	-94.03722
PERI52	36.454281	36.454281	-94.04041	-94.04041
PERI42	36.456803	36.456803	-94.0436	-94.0436
PERI32	36.459325	36.459325	-94.04679	-94.04679
PERI22	36.461846	36.461846	-94.04998	-94.04998
PERI15	36.464368	36.464368	-94.053171	-94.053171
PERI6	36.46689	36.46689	-94.056362	-94.056362
PERI1	36.469411	36.469411	-94.059553	-94.059553
PERI84	36.446769	36.446769	-94.024529	-94.024529
PERI73	36.449291	36.449291	-94.027719	-94.027719
PERI63	36.451814	36.451814	-94.030908	-94.030908
PERI53	36.454336	36.454336	-94.034098	-94.034098
PERI43	36.456858	36.456858	-94.037288	-94.037288
PERI33	36.45938	36.45938	-94.040478	-94.040478
PERI23	36.461902	36.461902	-94.043668	-94.043668
PERI16	36.464424	36.464424	-94.046859	-94.046859
PERI7	36.466945	36.466945	-94.050049	-94.050049
PERI2	36.469467	36.469467	-94.05324	-94.05324
PERI85	36.446823	36.446823	-94.018218	-94.018218
PERI74	36.449345	36.449345	-94.021407	-94.021407
PERI64	36.451868	36.451868	-94.024596	-94.024596
PERI54	36.45439	36.45439	-94.027786	-94.027786
PERI44	36.456912	36.456912	-94.030976	-94.030976
PERI34	36.459435	36.459435	-94.034165	-94.034165
PERI24	36.461957	36.461957	-94.037356	-94.037356
PERI17	36.464479	36.464479	-94.040546	-94.040546
PERI8	36.467001	36.467001	-94.043736	-94.043736
PERI3	36.469522	36.469522	-94.046927	-94.046927
PERI75	36.449399	36.449399	-94.015096	-94.015096
PERI65	36.451922	36.451922	-94.018285	-94.018285
PERI55	36.454444	36.454444	-94.021474	-94.021474
PERI45	36.456967	36.456967	-94.024663	-94.024663
PERI35	36.459489	36.459489	-94.027853	-94.027853
PERI25	36.462011	36.462011	-94.031043	-94.031043
PERI18	36.464534	36.464534	-94.034233	-94.034233
PERI9	36.467056	36.467056	-94.037423	-94.037423
PERI76	36.449453	36.449453	-94.008784	-94.008784
PERI66	36.451976	36.451976	-94.011973	-94.011973
PERI56	36.454498	36.454498	-94.015162	-94.015162
PERI46	36.457021	36.457021	-94.018351	-94.018351
PERI36	36.459543	36.459543	-94.021541	-94.021541
PERI26	36.462066	36.462066	-94.024731	-94.024731
PERI19	36.464588	36.464588	-94.02792	-94.02792
PERI10	36.46711	36.46711	-94.031111	-94.031111
PERI4	36.469633	36.469633	-94.034301	-94.034301
PERI77	36.449506	36.449506	-94.002473	-94.002473
PERI67	36.452029	36.452029	-94.005661	-94.005661
PERI57	36.454552	36.454552	-94.00885	-94.00885
PERI47	36.457075	36.457075	-94.012039	-94.012039
PERI37	36.459597	36.459597	-94.015229	-94.015229
PERI27	36.46212	36.46212	-94.018418	-94.018418
PERI11	36.467165	36.467165	-94.024798	-94.024798
PERI58	36.454605	36.454605	-94.002538	-94.002538
PERI48	36.457128	36.457128	-94.005727	-94.005727
PERI38	36.459651	36.459651	-94.008916	-94.008916
PERI28	36.462174	36.462174	-94.012105	-94.012105
PERI39	36.459704	36.459704	-94.002604	-94.002604
PERI29	36.462227	36.462227	-94.005793	-94.005793
PERI20	36.46475	36.46475	-94.008982	-94.008982
PERI12	36.467273	36.467273	-94.012172	-94.012172
PERI13	36.467326	36.467326	-94.005859	-94.005859
TAPR164	38.404452	38.404452	-96.550721	-96.550721
TAPR260	38.405783	38.405783	-96.542864	-96.542864
TAPR257	38.40768	38.40768	-96.585993	-96.585993
TAPR258	38.407339	38.407339	-96.569489	-96.569489
TAPR259	38.406649	38.406649	-96.536483	-96.536483
TAPR165	38.406942	38.406942	-96.550081	-96.550081
TAPR253	38.408548	38.408548	-96.579612	-96.579612
TAPR158	38.408206	38.408206	-96.563108	-96.563108
TAPR254	38.407862	38.407862	-96.546605	-96.546605
TAPR255	38.407515	38.407515	-96.530101	-96.530101
TAPR256	38.407166	38.407166	-96.513598	-96.513598
TAPR154	38.409757	38.409757	-96.589735	-96.589735
TAPR155	38.409417	38.409417	-96.573231	-96.573231
TAPR252	38.408728	38.408728	-96.540223	-96.540223
TAPR156	38.40838	38.40838	-96.52372	-96.52372
TAPR157	38.40803	38.40803	-96.507217	-96.507217
TAPR166	38.409066	38.409066	-96.551207	-96.551207
TAPR150	38.410626	38.410626	-96.583354	-96.583354
TAPR151	38.410284	38.410284	-96.56685	-96.56685
TAPR152	38.409594	38.409594	-96.533841	-96.533841
TAPR153	38.409245	38.409245	-96.517338	-96.517338
TAPR144	38.411835	38.411835	-96.593477	-96.593477
TAPR145	38.411494	38.411494	-96.576973	-96.576973
TAPR146	38.411152	38.411152	-96.560468	-96.560468
TAPR147	38.410807	38.410807	-96.543964	-96.543964
