attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
ParkUnit	park name	categorical				
Plot	plot id	character				
SubPlot	subplot number	numeric				
EventDate	event date	Date		yyyy-mm-dd		
FoliarCover	foliar cover type	categorical				
CoverClassCode	code code	numeric				
CoverClassMidPoint	midpoint	numeric	percent			
CoverClassRange	description	categorical				
